Reference	Lexrank	Seq-to-seq	Score
Friday will be the first anniversary of the death of Apple co-founder Steve Jobs. We considered whether any current tech figures will become "the next Steve Jobs" Readers suggested other candidates, weighed in on our list.	In advance of Friday, the first anniversary of the death of Apple's co-founder, we published a story pondering a question many in the tech world have been asking for a while: Who will be the next Steve Jobs? There won't (or shouldn't) be another Steve Jobs:. We really don't need another Steve Jobs.	The first anniversary of the death of Apple's co - founder, we published a story pondering a question many in the tech world have been asking for a while: who will be the next Steve Jobs? We put forward seven names, along with pros and cons for each: Amazon CEO Jeff Bezos, Facebook CEO Mark Zuckerberg, Apple CEO Tim Cook, Apple Senior Vice President Jonathan I ve, Apple and LevelUP CEO Seth Priebatsch.	-0.154146422612
Remember cookies? They track and analyze your online activity to help companies advertise. Your Facebook "likes" say a lot about you that researchers are keen to dissect. Follow CNN Living on Facebook and Twitter.	Facebook knows what you're buying. Facebook purchased data in 2012 on 70 million U.S. households from a data mining firm called Datalogix. Twitter, not to be outdone by Facebook's ad targeting, came up with its own version. Twitter is allowing WPP to analyze Twitter data to set up a way to better monitor real-time consumer behavior.	Facebook purchased data in 2012 on 70 million U.S. households from a data mining firm called Datalogix. The backlash from creeped - out users has since led Facebook to become even more transparent about its targeting programs. If you're curious, you can visit youarewhatyoulike.com and see exactly how much your Facebook can predict. Here are a few ways your data are already being collected and put to use, even if you don't know it.	-0.111485364911
Review under way of how intelligence operates outside of the country, Obama says. Feinstein says Washington stops surveillance of allies, administration says not totally accurate. Sources differ on when the White House learned of foreign leader phone taps. White House learned of foreign leader phone taps only this summer.	President Barack Obama didn't know the United States was collecting communications of allied leaders such as German Chancellor Angela Merkel, the chairman of the Senate Intelligence Committee said on Monday. Obama did not learn until recently of the NSA surveillance of other world leaders, including allies, a senior administration official told CNN on Monday. Separately, the NSA on Sunday denied a report by the German newspaper Bild am Sonntag that NSA Director Keith Alexander told Obama about the surveillance of Merkel in 2010.	Sen. Dianne Feinstein of California says Obama didn't know the United States was collecting communications of allied leaders such as German Chancellor Angela Merkel, the chairman of the Senate intelligence Committee said on Monday. Feinstein's overall comments confirmed recent news reports on the national security Agency electronic surveillance network revealed in classified leaks by former Agency Agency contractor Edward Snowden. Lawmakers were urged not to discuss the classified program for fear it would hurt national security, the documents show.	-0.0573697458212
Since the death of Steve Jobs, the tech world has looked for its next visionary. Mark Zuckerberg, Amazon's Jeff Bezos, Yahoo's Marissa Mayer are names that come up. At Apple, CEO Tim Cook and vice president Jonathan Ive have big shoes to fill. Most agree there will never truly be "the next Steve Jobs"	Mark Zuckerberg, CEO, Facebook. Tim Cook, CEO, Apple. Job's was Apple's CEO. Cons: Well, he's not the CEO.	Steve Jobs died one year ago Friday, but it's been asked in tech circles over and over:.. It's safe to say that no figure in the tech industry will perfectly duplicate the unique blend of vision, salesmanship, mystique and eye for detail possessed by Jobs, who died in one Friday ago Friday. Industry observers abhor a vacuum. Futile though it might be, it's perhaps human nature to speculate about who could emerge to fill the void left.	-0.268901474165
Apple is expected to announce updates to its line of iPad tablets on Tuesday. The iPad Mini will likely get a higher-res screen; larger models will get lighter, faster. Microsoft and Nokia are also expected to announce tablets this week. Apple sells the most tablets worldwide, followed by Samsung.	The main attraction is expected to be upgrades to Apple's iPad line of tablets. Expect to see faster processors speeding up both devices. Nor will we likely see a smartwatch or an Apple TV set. But Apple's not the only tablet manufacturer announcing news this week. Microsoft is releasing the latest versions of its Surface tablets, and Nokia is expected to announce new Windows 8 devices on Tuesday.	Apple CEO Tim Cook will take the stage in front of an auditorium of journalists and announce updated products with the help of some videos. The iPad Mini will likely inherit the high - resolution retina display that came out on last - year's full - size iPad. Apple is releasing the latest versions of its Surface tablets, and Nokia is expected to announce new Windows 8 devices on Tuesday.	-0.0629829087278
Obama, after talking to Merkel about U.S. surveillance, says he'll try to declassify more info. On Afghanistan canceling talks with U.S., Obama says friction not surprising. He expresses hope that "despite those challenges the process will proceed" Obama also discusses differences with Russia on Syria.	Below is a quick look at what Obama said Wednesday -- a few hours before he spoke to the public at Berlin's Brandenburg Gate -- on European concerns about U.S. surveillance programs, Russia's disagreement with the United States over Syria, and more:. A reporter asked Obama how the United States and Afghan President Hamid Karzai could seemingly be on different pages, after Karzai on Wednesday shelved security talks with the United States amid friction over planned U.S. peace talks with the Taliban in Qatar.	New: Obama: "this is not a situation in which we are rifling through the ordinary e - mails of German citizens or American citizens". Obama visited Germany, the United States' largest European trading partner, After attending a G8 conference earlier this week in Northern Ireland. Merkel told reporters that she appreciates U.S. cooperation with Germany on cybersecurity, but will continue to discuss with U.S. officials the "question of balance or proportionality" on the Internet.	-0.151926459488
Alleged Russian spies seem hapless but may hint at wider operation. Arrest comes at time of sharp U.S.-Russia tensions.	Washington (CNN)They weren't exactly James Bond but the three alleged Russian spies exposed by the FBI are part of the most intense effort by Russia to infiltrate agents onto American soil since the Cold War. In an affidavit unsealed in federal court on Monday, the Justice Department accused Evgeny Buryakov, also known as "Zhenya," of posing as a Russian banker in Manhattan to funnel economic intelligence to the SVR, Russia's foreign intelligence agency. While the agents exposed in New York this week were not "sleepers", they were also evidence of a comprehensive Russian espionage program.	Evgeny Buryakov, also known as "zhenya," of posing as a Russian banker in Manhattan to funnel economic intelligence to the SVR, Russia's foreign intelligence Agency. Two other Russians, igor Sporyshev and Victor Podobnyy, were ostensibly diplomats in Russia's UN mission in New York but are accused of being Buryakov's SVR handlers. Still, news of their existences comes at the most perilous moment in U.S.-Russia relations in decades.	-0.0203652427353
NEW: Official who's assessing damage says he's willing to talk if it cuts off flow of secrets. Reports say one NSA reform recommendation is changing leadership from military to civilian. Another reported proposal is giving control over cell phone records to a third party. A review board's recommendations won't be made public until next month.	Snowden, currently in Moscow evading a U.S. warrant for his arrest on espionage charges, leaked information on widespread data collection that's spurred outcry and forced President Barack Obama to review the spy agency's powers. The review came as newspapers published story after story detailing the spying powers of the NSA and other federal agencies, including reports that the U.S. government tracked the cell phones of German Chancellor Angela Merkel and other leaders. Requiring third parties to store Americans' records for the government is not a solution."	Edward Snowden's leaks says he would consider amnesty for the former contractor in exchange for a halt to the flow of top secret information about U.S. spying. Snowden, currently in Moscow evading a U.S. warrant for his arrest on espionage charges, leaked information on widespread data collection that's spurred outcry and forced President Barack Obama to review the spy agency's powers. The NSA's assessment of Snowden's leaks has cost millions of dollars.	-0.103317277126
Bild newspaper in Germany called US denials of eavesdropping 'diplomatic lies' as new documents emerge. They quote a secret source which claims Obama not only sanctioned the operation against Mrs Merkel but extended it.	Scroll down for video. Not amused: German Chancellor Angela Merkel had both her work and supposedly bug-proof personal mobile cracked by intelligence agents. 'Obama did not stop the action but rather furthered it,' said the Bild informant. 'Where do the Germans stand, can we trust Schroeder?' was allegedly the question, according to Bild, posted in the White House when Bush sanctioned the hacking of his phone. . Sanctioned: Bild quotes a secret intelligence source which claims the President not only sanctioned but extended the operation against Mrs Merkel.	President Barack Obama personally authorised the phone tapping of Chancellor Angela Merkel's mobile because he wanted to 'know everything' about the world's most powerful woman, it was claimed on Sunday. German media said there was little doubt that ‘ handygate '- the name given to the scandal from the German word Handy for mobile phone - was launched from the American embassy at Pariser Platz in the heart of the capital Berlin.	-0.114596136027
Bloomberg has claimed that Apple could have a car ready by 2020. The tech giant is thought to be preparing to enter the automobile industry. Recent images showed a car registered to Apple with equipment on top. They may be preparing an electric car to go head to head with Tesla. Other reports claim Apple is building a self-driving car called 'Titan' .	Bloomberg has claimed that Apple could have a car ready by 2020, based on images of a test car. Apple could, of course, be using the vans for both projects.  . An unnamed Apple employee recently hinted that the tech giant is developing a vehicle as part of a project that 'will change the landscape and give Tesla a run for its money.' It followed sightings of an Apple-owned car fitted with cameras (pictured) in California. With 12 cameras on top of the mysterious Apple car, some have said that is too many for it to be a mapping car like Google's Street View (pictured left).	Bloomberg has claimed that Apple could have a car ready by 2020. Images taken over the past few weeks have shown a prototype car that suggests Apple is testing the water - ahead of a release in as little as five years. After the first mysterious camera - mounted car was spotted in California last week, further sightings of Apple's minivans have been posted online, with equipment on top.	-0.0171582570897
Apple's value is more than nation of Poland, as stock soars past $500bn. Apple keeps nearly $100bn in CASH following lean period in 90s. iPhone division alone worth more than all of Microsoft.	The sales are doing wonders for Apple's share price, which hit $600 for the first time just as the new iPad launched. So, if you have the cash to spend, you have a choice - one new iPad, or one share in Apple. Only a month earlier, the stock price had crossed $500 for the first time, and the £100 jump means Apple's stock has risen 45 per cent this year. With Thursday's closing price of $585.56, Apple's share price is far more expensive than the $499 starting price for a WiFi iPad in the U.S.	Apple's share price is far more expensive than the $499 starting price for a WiFi iPad in the U.S. the new iPad goes on sale today in 10 countries, including the United States, canada, france and Britain, with diehards lining up overnight in front of Apple stores in Munich, paris, singapore and Hong Kong.	-0.164008075588
San Francisco startup Vicarious is building software designed to mimic the behaviour of the brain's neocortex. The neocortex is the part of the brain involved in thought and language. Vicarious wants to create a system 'that thinks and learns like a human’. Mark Zuckerberg and Tesla’s Elon Musk are the latest backers. Others include PayPal billionaire Peter Thiel and actor Ashton Kutcher.	 Facebook founder Mark Zuckerberg, pictured, has invested in artificial intelligence firm Vicarious. Facebook founder Mark Zuckerberg and Tesla owner Elon Musk join the likes of PayPal billionaire Peter Thiel, actor Ashton Kutcher and Facebook’s co-founder Dustin Moskovitz by investing in San Francisco-based Vicarious. . The startup wants to create software that ‘thinks and learns like a human’, and to do that, the firm is attempting to build a program that mimics the brain’s neocortex. .	Facebook founder Mark Zuckerberg has invested in artificial intelligence firm Vicarious. The neocortex is the top layer of the cerebral hemispheres in the brain of mammals. It is approximately 3 mm thick and has six layers, each involved with various functions. The firm is attempting to build a program that mimics the brain's neocortex, which is responsible for thought, spatial reasoning, conscious thought, and language in humans.	-0.0651509357329
Building registered as home to mysterious SixtyEight Research. Has frosted windows and security cameras everywhere. The tech giant is thought to be preparing to enter the automobile industry. Building known as SG5 within Apple .	Bloomberg has claimed that Apple could have a car ready by 2020, based on images of a test car. Apple could, of course, be using the vans for both projects.  . An unnamed Apple employee recently hinted that the tech giant is developing a vehicle as part of a project that 'will change the landscape and give Tesla a run for its money.' It followed sightings of an Apple-owned car fitted with cameras (pictured) in California.	Apple is believed to be home to Apple's secret car project. The building is advertised as home to a mysterious company named SixtyEight Research. Building is apparently known as SG5 within Apple, and issues visitor passes constructed on the premises. Apple could have an electric car ready to go on sale by 2020, putting it in direct competition with rivals Tesla Motors and General Motors.	-0.18145392167
McCain to challenge Obama foreign policy in new Senate post. Arizona Sen. sees US foreign policy as immoral. Latest twist in a career of comebacks. McCain has chance to reshape his legacy in twilight of career.	OPINION: John McCain's political comeback. But he has been unable to change the substance of Obama's foreign policy. 'Immoral' "We are watching one of the great episodes of genocide certainly in our century," McCain said, when asked to assess Obama's Syria policy. In recent months, McCain's fury has spilled out in committee hearing showdowns with top officials including Secretary of State John Kerry and his new deputy, Tony Blinken. "I believe in John's adage that a fight not joined is a fight not enjoyed," Kerry said.	John McCain will take on one of the most weighty jobs in Congress when the new Republican majority rolls into town next month. As Chairman of the Senate Armed Services Committee, McCain will hold the White House to account for what he sees as a feckless foreign policy that has enabled "genocide" in Syria, left "evil" to fill a leadership vacuum elsewhere and splintered America's moral example around the world.	-0.0337168822472
Senate subcommittee says Apple skipped $9billion in federal taxes in 2012. Says five affiliate companies in Cork, Ireland, used to avoid U.S. tax. Report said: 'Ireland has essentially functioned as a tax haven for Apple' But Ireland denied it had any special rates with Apple. Sen. Carl Levin said company sought 'Holy Grail' of tax avoidance schemes. Apple says it 'complies full with both the laws and spirit of the laws' CEO Time Cook said Apple is 'All-American' and has created over 300,000 jobs in the U.S.	Apple’s arrangement has allowed it to pay just 1.9 per cent tax on its $37 billion in overseas profits in 2012, despite the fact that the average tax rate for countries in its main markets was 24 per cent last year, says the report. Apple uses five companies located in Ireland to carry out its tax strategy, says the report. The subcommittee’s report estimates that Apple avoided at least $3.5 billion in US taxes in 2011 and $9 billion in 2012 by using the tactic. Senate investigation found Apple uses affiliate companies in Ireland (pictured) to avoid billions in U.S. income tax.	Apple CEO Tim Cook defended the iPhone giant today after it was revealed that the world's most valuable company pays little or no tax on tens of billions of dollars stashed in offshore subsidiaries. Mr Cook brushed off criticism from a Senate panel, saying: 'we estimate that the App Store has developed over 300,000 jobs in the U.S. None of that activity was there five years ago'. Apple employs a group of affiliate companies outside America to avoid paying tax.	-0.0322602620511
About 2,000 people joined the march to the U.S. Capitol. Protesters carried signs thanking spy secret leaker Edward Snowden. A statement written by Mr Snowden was read aloud at the protest.	Carrying signs reading: ‘Stop Mass Spying,’ ‘Thank you, Edward Snowden’ and ‘Unplug Big Brother,’ people gathered at the foot of the Capitol to demonstrate against the online surveillance by the National Security Agency. One protester also read a statement released by Mr Snowden prior to the rally. The groups have been urging Congress to reform the legal framework supporting the NSA's secretive online data gathering since Snowden's disclosure of classified information about the programs that are designed to gather intelligence about potential foreign threats.	Edward Snowden wasn't physically at the rally, but Capitol Police said they do not typically provide estimates on the size of demonstrations. The march made for unusual allies, with liberal privacy advocates walking alongside members of the conservative Tea Party movement - both sides oppose what they say is unlawful government Spying on Americans. One protester also read a statement released by Mr Snowden prior to the rally.	-0.102903935558
According to reports, Apple experimented with a range of sensors . These included sensors that measured conductivity of the skin to track stress levels and monitor heart-rate. But they 'didn’t perform consistently' on people with hairy arms or dry skin. The report added that Apple struggled to then find a purpose for the watch. Asked its Asian suppliers to make 5-6 million units for the first-quarter. Apple is expected to launch the watch in March with prices starting at $349. Analysts predicts sales of wearables will grow to 172 million in 2018.	When the Apple Watch was first envisioned, designers imagined a device packed full of sensors that could measure heart rate, stress levels, blood pressure and more. Last year, designers created an online demo of how apps may work on the Apple Watch. . Unveiled on 9 September at Apple's iPhone 6 launch event, the Apple Watch is the company's first foray into wearables.	Apple is expected to launch the smartwatch in March with prices starting at $349. The Watch even became dubbed 'black hole' internally because it continued to suck in resources for four years. But a report Now claims that, one - by - one, many of these sensors were dropped because they were unreliable or erratic. Apple has not responded to MailOnline's request for comment.	-0.15456837065
At least 20 people have been killed in the eastern city of Lugansk, despite calls for a ceasefire following the attack. Vladimir Putin has asked for both sides to put their weapons down and for the conflict to come to a 'swift halt' Malaysian Airlines Boeing 777 came down in an area under rebel control. All passengers on board were killed.	Just hours after flight MH17 was shot down, the eastern city of Lugansk was hit by shelling leaving hundreds of residents wounded. Aftermath: Rescuers walk through a hole in a building created by a shell in Lugansk, eastern Ukraine, to inspect the damage caused by the attack. Fighting continues: An injured man receives medical treatment after a shelling attack on the city of Lugansk in eastern Ukraine.	Vladimir Putin has called for both sides to lay down their weapons. Pictures show bodies lining the streets covered in blankets in the wake of the attack. Just hours after flight MH17 was shot down, the eastern city of Lugansk was hit by shelling leaving hundreds of residents wounded. The Russian President said: 'direct talks between the opposing sides must be established as soon as possible. All sides in the conflict must swiftly halt fighting and begin peace negotiations.	-0.0794952101657
Claims lab is already up and running outside of the firm's Cupertino HQ. Source hinted that Apple is developing a vehicle as part of a project codenamed Titan that 'will change the landscape' Hundreds of employees believed to be working on project . Apple-owned minivans fitted with cameras and other sensors spotted earlier this week in San Francisco and Brooklyn. Elon Musk claims Apple is trying to hire Tesla staff .	In particular, Apple may be working on an electric car to rival Tesla's range (the Tesla P85D is pictured) or the email could be referring to an advanced iPhone in-car control system that would rival Tesla's software. Alternatively, the vehicle spotted in California could be a self-driving car. If Apple was developing such systems, they would would rival Google's self-driving cars (pictured) The head of self-driving cars for Google expects real people to be using them on public roads in two to five years.	Speculation was rife last week when an Apple - owned car was spotted driving around California fitted with Street View - style cameras. 'Dozens of Apple employees, led by experienced managers from its iPhone unit, are researching Automotive products at a confidential Silicon Valley location outside the company's Cupertino campus,' the FT claims it was told by sources close to Apple.	-0.126769053256
President Obama announced changes in a speech on Friday morning. Government control of phone-call data 'creates a potential for abuse,' he acknowledged. Obama wouldn't recommend who should control the digital information, but told AG Eric Holder and Congress to decide the future of the program. Speech came after months-long review following a public description of the program by NSA leaker Edward Snowden in 2013. NSA initiative is meant to stockpile data so it can be mined later to draw lines of connection among suspected terrorists after they are identified.	President Barack Obama promised on Friday to end the government's access to millions of Americans' telephone call data, but launched a strong defense of the National Security Agency's performance. Obama did not recommend whether the government, private telecommunications companies, or third-party groups should control the phone data that the government has collected, but called on Attorney General Eric Holder, Congress and the intelligence community to decide. What appeared certain was that the NSA's phone record gathering would continue in some form, including digital data collection overseas.	President Barack Obama promised on Friday to end the government's access to millions of Americans' telephone call data, but launched a strong defense of the national security Agency's performance. In a wide - ranging speech that touched on the future of American intelligence - gathering, the 'damage' Edward Snowden's leaks have done and a snipe at Russia's feigned outrage over the revelations.	-0.0231060646288
Edward Snowden remains in transit area of Moscow airport after leaving Hong Kong on Sunday.	When Hong Kong asked the U.S. for clarification on Friday, they failed to respond in time for officials to stop Snowden's flight to Russia on Sunday. Hideout: He is in the transit area of Sheremetievo airport in Moscow after flying from Hong Kong on Sunday. No sign of Snowden: Passengers wait in the transit area of the airport where Snowden has been for days. Hurdles: Ecuador's Foreign Minister Ricardo Patino said it could take months to secure asylum for Snowden.	Hong Kong officials have said they were unable to help the U.S. with NSA whistleblower Edward Snowden. They failed to respond in time for officials to stop Snowden's flight to Russia on Sunday. Snowden is currently in a transit area of a Moscow airport but it is believed Ecuador Kong's government had no legal basis to block his departure. The embarrassment for the U.S. comes as Ecuador revealed it could take months to decide whether to grant asylum to Snowden.	-0.206817701109
Money will go towards medical training and equipment to help civilians. It is hoped it will help them in case of any further chemical attacks. The PM was yesterday forced to deny he was being sidelined. Putin said Britain is 'just a small island: no-one pays any attention to them' Stark division over international response to regime of Assad.	David Cameron today announced an additional £52 million in UK aid for victims of the civil war in Syria, as the G20 summit in St Petersburg saw stark division over the international response to allegations of chemical weapons use by the regime of President Bashar Assad. Aid: David Cameron today announced an additional £52 million in UK aid for victims of the civil war in Syria. Russian President Vladimir Putin and Prime Minister David Cameron, warm themselves as they arrived for the Water and Music Show last night.	David Cameron announced an additional £52 million in UK aid for victims of the civil war in Syria. The US and France are so far the only nations attending the G20 to have backed the use of military force against the Assad regime, with Russia and China insisting that any action in the absence of UN Security Council approval would be illegal.	0.00155838953969
Microphones were put in building and computers compromised as spooks targeted EU in Washington and UN offices in New York. Secretary of State Kerry says bugging 'not unusual' in international relations. Germany's Angela Merkel spokesman says 'bugging friends is unacceptable' Head of European Parliament demands 'clarification' from US, warning of rift. Der Spiegel says 'strictly confidential' document was leaked by Ed Snowden.	John Kerry, left, said spying on foreign allies was 'not unusual' while France's Francois Hollande, right, demanded an explanation and an 'immediate halt' Avoid eye contact: Angela Merkel said, if true, 'spying on friends is unacceptable' just a week after she and US President Barack Obama shared a glass of wine during his visit to Berlin. Targeted: The 27-bloc EU offices at the UN building in New York was spied on by the U.S. National Security Agency.	John Kerry said it is' not unusual 'for governments to bug the offices of their allies sparking fierce retorts from France and Germany. The extraordinary statement has angered leaders across the world after leaked documents revealed America spied on 38 foreign missions and embassies including the European Union's Washington nerve centre. As outrage grew across the EU over the damaging revelations, german Chancellor Angela Merkel was first to lash out, declaring that' bugging friends is unacceptable '.	-0.0170568846292
